templateId	category	subcategory	sentence	group	concept1_masc	concept2_masc	concept1_fem	concept2_fem	art_pron_masc	art_pron_fem	preposition_contracted	preposition_not_contracted
1a	outgroup_background	socioeconomic_background	La majoria [AP] [GROUP] que últimament vénen a viure al nostre país són procedents de països [CONCEPT].	immigrants, refugiats, estrangers, persones	pobres	rics	Null	Null	dels	de les	Null	Null
1b	outgroup_background	nationality_background	La majoria [AP] [GROUP] que últimament vénen a viure al nostre país són procedents de països [CONCEPT].	immigrants, refugiats, estrangers, persones	llatinoamericans	europeus	Null	Null	dels	de les	Null	Null
1c	outgroup_background	nationality_background	La majoria [AP] [GROUP] que últimament vénen a viure al nostre país són procedents de països [CONCEPT].	immigrants, refugiats, estrangers, persones	africans	europeus	Null	Null	dels	de les	Null	Null
2a	outgroup_background	socioeconomic_background	La majoria [AP] [GROUP] que últimament vénen a viure al nostre país no tenen [CONCEPT].	immigrants, refugiats, estrangers, persones	feina	fills	Null	Null	dels	de les	Null	Null
2b	outgroup_background	skills_background	La majoria [AP] [GROUP] que últimament vénen a viure al nostre país no tenen [CONCEPT].	immigrants, refugiats, estrangers, persones	formació professional	problemes d'aprenentatge	Null	Null	dels	de les	Null	Null
2c	outgroup_background	legal_background	La majoria [AP] [GROUP] que últimament vénen a viure al nostre país no tenen [CONCEPT].	immigrants, refugiats, estrangers, persones	papers	nacionalitat espanyola	Null	Null	dels	de les	Null	Null
3a	outgroup_background	social_background	[AP] [GROUP] que últimament vénen a viure al nostre país tenen molts [CONCEPT].	immigrants, refugiats, estrangers, persones	fills	contactes	Null	Null	Els	Les	Null	Null
3b	outgroup_background	social_background	[AP] [GROUP] que últimament vénen a viure al nostre país tenen molts [CONCEPT].	immigrants, refugiats, estrangers, persones	problemes	recursos	Null	Null	Els	Les	Null	Null
3c	outgroup_background	legal_background	[AP] [GROUP] que últimament vénen a viure al nostre país tenen [CONCEPT].	immigrants, refugiats, estrangers, persones	antecedents penals	l'expedient net	Null	Null	Els	Les	Null	Null
3d	outgroup_background	social_background	[AP] [GROUP] que últimament vénen a viure al nostre país tenen [CONCEPT].	immigrants, refugiats, estrangers, persones	problemes amb les drogues	hàbits saludables	Null	Null	Els	Les	Null	Null
4	outgroup_background	skills_background	[AP] [GROUP] tenen un nivell educatiu [CONCEPT].	immigrants, refugiats, estrangers, persones d'un altre país	baix	alt	Null	Null	Els	Les	Null	Null
5	right_to_live_in_country	racism	Perquè un [GROUP] que ha nascut i viscut sempre fora del nostre país pugui venir a viure i treballar aquí, és molt important que sigui [CONCEPT].	immigrant, refugiat, estranger	de raça blanca	qualificat	Null	Null	un	una	Null	Null
6	right_to_live_in_country	classism	Perquè un [GROUP] que ha nascut i viscut sempre fora del nostre país pugui venir a viure i treballar aquí, és molt important que tingui [CONCEPT].	immigrant, refugiat, estranger	diners	qualificació	Null	Null	un	una	Null	Null
7	right_to_live_in_country	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] de països pobres vinguin a viure aquí.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
8	right_to_live_in_country	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] dels països més pobres de fora d'Europa vinguin a viure aquí.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
9	right_to_live_in_country	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] dels països més pobres d'Europa vinguin a viure aquí.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
10	right_to_live_in_country	racism	El Govern hauria de [CONCEPT] que [GROUP] de raça o grup ètnic diferent al de la majoria dels espanyols vinguin a viure aquí.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
11	right_to_live_in_country	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] porten la seva família més propera al nostre país.	immigrants, refugiats, estrangers	prohibir	permetre	Null	Null	Null	Null	Null	Null
12	right_to_citizenship	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] dels països més pobres de fora d'Europa obtinguin la nacionalitat espanyola.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
13	right_to_citizenship	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] dels països més pobres d'Europa obtinguin la nacionalitat espanyola.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
14	right_to_citizenship	xenophobia_general	El Govern hauria de [CONCEPT] que [GROUP] de països pobres obtinguin la nacionalitat espanyola.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
15	right_to_citizenship	racism	El Govern hauria de [CONCEPT] que [GROUP] de raça o grup ètnic diferent al de la majoria dels espanyols obtinguin la nacionalitat espanyola.	immigrants, refugiats, estrangers, persones	prohibir	permetre	Null	Null	Null	Null	Null	Null
16	contact_with_outgroup	xenophobia_family	No m'[CONCEPT] si [AP] [GROUP] es casés amb un familiar proper meu.	immigrant, refugiat, estranger, persona d'un altre país	agradaria	importaria	Null	Null	un	una	Null	Null
17	contact_with_outgroup	xenophobia_in_workplace_or_business	No m'[CONCEPT] si [AP] [GROUP] fos el meu cap.	immigrant, refugiat, estranger, persona d'un altre país	agradaria	importaria	Null	Null	un	una	Null	Null
18a	contact_with_outgroup	xenophobia_in_schools	La presència de fills [PREP][GROUP] a les escoles és [CONCEPT] per al conjunt dels alumnes.	immigrants, refugiats, estrangers, persones d'un altre país	perjudicial	enriquidora	Null	Null	Null	Null	d'	de 
18b	contact_with_outgroup	xenophobia_in_schools	La presència de fills [PREP][GROUP] a les escoles és [CONCEPT] per al conjunt dels alumnes.	immigrants, refugiats, estrangers, persones d'un altre país	negativa	positiva	Null	Null	Null	Null	d'	de 
19	contact_with_outgroup	xenophobia_in_schools	La qualitat de l'educació [CONCEPT] a les escoles on hi ha molts fills [PREP][GROUP].	immigrants, refugiats, estrangers, persones d'un altre país	empitjora	millora	Null	Null	Null	Null	d'	de 
20	contact_with_outgroup	xenophobia_neighborhood	Jo [CONCEPT] viure al mateix barri on viuen molts [GROUP].	immigrants, refugiats, estrangers	evitaria	acceptaria	Null	Null	Null	Null	Null	Null
21	contact_with_outgroup	xenophobia_neighborhood	Jo [CONCEPT] viure al mateix bloc on viuen molts [GROUP].	immigrants, refugiats, estrangers	evitaria	acceptaria	Null	Null	Null	Null	Null	Null
22	contact_with_outgroup	xenophobia_in_workplace_or_business	Jo [CONCEPT] llogar un pis a [GROUP].	immigrants, refugiats, estrangers	evitaria	acceptaria	Null	Null	Null	Null	Null	Null
23	contact_with_outgroup	xenophobia_in_schools	Jo [CONCEPT] estudiar amb [GROUP].	immigrants, refugiats, estrangers	evitaria	acceptaria	Null	Null	Null	Null	Null	Null
24	contact_with_outgroup	xenophobia_in_workplace_or_business	Jo [CONCEPT] treballar amb [GROUP].	immigrants, refugiats, estrangers	evitaria	acceptaria	Null	Null	Null	Null	Null	Null
25a	contact_with_outgroup	racism	El que més influeix en el tracte que es dóna als [GROUP] al nostre país és la seva [CONCEPT].	immigrants, refugiats, estrangers	nacionalitat	actitud	Null	Null	Null	Null	Null	Null
25b	contact_with_outgroup	racism	El que més influeix en el tracte que es dóna als [GROUP] al nostre país és [CONCEPT].	immigrants, refugiats, estrangers	la seva ètnia	el seu comportament	Null	Null	Null	Null	Null	Null
26	contact_with_outgroup	social_distrust	Hem [CONCEPT] amb les comunitats de [GROUP].	immigrants, refugiats, estrangers	d’anar amb compte	de ser solidaris	Null	Null	Null	Null	Null	Null
27	integration	xenophobia_general	Hem d'[CONCEPT] [AP] [GROUP] que tenen dificultat per integrar-se a la nostra societat.	immigrants, refugiats, estrangers	expulsar	ajudar	Null	Null	els	les	Null	Null
28	outgroup_numbers	large_outgroup_size	En comparació amb altres països europeus de grandària semblant, el nombre [PREP][GROUP] que venen a viure i treballar al nostre país és [CONCEPT].	immigrants, refugiats, estrangers, persones d'un altre país	més gran	menor	Null	Null	Null	Null	d'	de 
29	outgroup_numbers	large_outgroup_size	El nombre [PREP][GROUP] que venen a viure al nostre país és [CONCEPT].	immigrants, refugiats, estrangers, persones d'un altre país	elevat	acceptable	Null	Null	Null	Null	d'	de 
30	personal_or_collective_threat	healthcare_and_housing	[AP] [GROUP] [CONCEPT] del sistema sanitari gratuït.	immigrants, refugiats, estrangers, persones d'un altre país	abusen	gaudeixen	Null	Null	Els	Les	Null	Null
31	personal_or_collective_threat	healthcare_and_housing	[AP] [GROUP] tenen [CONCEPT] per accedir a la vivenda.	immigrants, refugiats, estrangers, persones d'un altre país	prioritat	dificultats	Null	Null	Els	Les	Null	Null
32	personal_or_collective_threat	healthcare_and_housing	L'augment de determinats problemes de salut està [CONCEPT] l'arribada de [GROUP].	immigrants, refugiats, estrangers, persones d'un altre país	relacionat amb	dissociat de	Null	Null	Null	Null	Null	Null
33	personal_or_collective_threat	jobs_and_economy	Els [GROUP] estan disposats a treballar per salaris [CONCEPT].	immigrants, refugiats, estrangers	més baixos	justos	Null	Null	Null	Null	Null	Null
34	personal_or_collective_threat	jobs_and_economy	Generalment, els sous [CONCEPT] com a conseqüència de l'arribada [PREP][GROUP] que venen a viure i treballar al nostre país.	immigrants, refugiats, estrangers, persones d'un altre país	baixen	pugen	Null	Null	Null	Null	d'	de 
35	personal_or_collective_threat	jobs_and_economy	Generalment, per a l'economia és [CONCEPT] que [GROUP] vinguin a viure al nostre país.	immigrants, refugiats, estrangers, persones d'un altre país	dolent	bo	Null	Null	Null	Null	Null	Null
36	personal_or_collective_threat	jobs_and_economy	Generalment, l'arribada [PREP][GROUP] que venen a viure i treballar aquí [CONCEPT] les nostres perspectives econòmiques.	immigrants, refugiats, estrangers, persones d'un altre país	empitjora	millora	Null	Null	Null	Null	d'	de 
37	personal_or_collective_threat	jobs_and_economy	Els [GROUP] són una [CONCEPT] econòmica.	immigrants, refugiats, estrangers	càrrega	necessitat	Null	Null	Null	Null	Null	Null
38	personal_or_collective_threat	criminality	El problema de la delinqüència al nostre país [CONCEPT] com a conseqüència de l'arribada [PREP][GROUP].	immigrants, refugiats, estrangers, persones d'un altre país	empitjora	millora	Null	Null	Null	Null	d'	de 
39	personal_or_collective_threat	xenophobia_general	L'arribada [PREP][GROUP] fa que al nostre país sigui un lloc [CONCEPT] per viure.	immigrants, refugiats, estrangers, persones d'un altre país	pitjor	millor	Null	Null	Null	Null	d'	de 
40	personal_or_collective_threat	xenophobia_general	[AP] [GROUP] porten [CONCEPT] al nostre país.	immigrants, refugiats, estrangers, persones d'un altre país	problemes	prosperitat	Null	Null	Els	Les	Null	Null
41	personal_or_collective_threat	xenophobia_general	Amb l'arribada [PREP][GROUP] augmenta la quantitat de noves [CONCEPT] al nostre país.	immigrants, refugiats, estrangers, persones d'un altre país	malalties	empreses	Null	Null	Null	Null	d'	de 
42	personal_or_collective_threat	jobs_and_economy	[AP] [GROUP] [CONCEPT] llocs de treball.	immigrants, refugiats, estrangers	treuen	creen	Null	Null	Els	Les	Null	Null
43	personal_or_collective_threat	xenophobia_general	[AP] [GROUP] que venen a viure al nostre país generen nous [CONCEPT].	immigrants, refugiats, estrangers	problemes	llocs de treball	Null	Null	Els	Les	Null	Null
44	personal_or_collective_threat	criminality	Els [GROUP] són [CONCEPT] de màfies i organitzacions criminals.	immigrants, refugiats, estrangers	part	víctimes	Null	Null	Null	Null	Null	Null
